timestamp,marketTime,underlying,signalType,optionType,selectedInstrumentKey,selectedStrike,underlyingPrice,underlyingVwap,optionLastPrice,optionVolume,optionOpenInterest,optionImpliedVolatility,previousOptionLastPrice,previousOptionOpenInterest,underlyingCandleCount,optionCandleCount,latestUnderlyingOpen,latestUnderlyingHigh,latestUnderlyingLow,latestUnderlyingClose,latestUnderlyingVolume,latestOptionOpen,latestOptionHigh,latestOptionLow,latestOptionClose,latestOptionVolume,resistanceStrike,supportStrike,nearbyPutCallOiImbalance,nearbyCallOpenInterest,nearbyPutOpenInterest,resistanceCallOiChange,supportPutOiChange,vwapPassed,breakoutPassed,volumeSpike,oiPassed,ivPassed,liquidityPassed,timePassed,confidenceScore,reasons
"2026-04-13T06:52:45.214958200Z","12:22:42.008363100","NIFTY","NO_TRADE","CE","NFO:NIFTY2641323800CE","23800","23801.05","23801.05","57.4","519269335","17724135",,,,"30","30","23812.05","23813.2","23801.05","23801.05","0","61.95","62.85","58.1","58.2","3369080","24000","23600","1.353389463196205","111425535","150802145","0","0","false","false","false","true","true","true","true","40","VWAP condition failed; Breakout condition failed; Volume spike missing; OI behavior supports entry; IV filter passed; Liquidity filter passed; Entry time window passed; Signal score failed: 40%"
"2026-04-13T06:52:45.439766300Z","12:22:42.008363100","NIFTY","NO_TRADE","PE","NFO:NIFTY2641323800PE","23800","23801.05","23801.05","57.6","200000385","20059130",,,,"30","30","23812.05","23813.2","23801.05","23801.05","0","53.6","57.5","53.15","57.15","3927625","24000","23600","1.353389463196205","111425535","150802145","0","0","false","false","true","false","true","true","true","35","VWAP condition failed; Breakout condition failed; Volume spike confirmed; OI behavior does not support entry; IV filter passed; Liquidity filter passed; Entry time window passed; Signal score failed: 35%"
"2026-04-13T06:53:45.937914Z","12:23:45.457131200","NIFTY","NO_TRADE","CE","NFO:NIFTY2641323800CE","23800","23798.35","23798.35","58.8","522864290","17935385",,"57.4","17724135","30","30","23801.1","23801.35","23797.05","23798.35","0","58.05","58.35","55","58.2","3448185","24000","23600","1.358863539582446","111427550","151414835","60905","147940","false","false","false","true","true","true","true","40","VWAP condition failed; Breakout condition failed; Volume spike missing; OI behavior supports entry; IV filter passed; Liquidity filter passed; Entry time window passed; Signal score failed: 40%"
"2026-04-13T06:53:46.069384300Z","12:23:45.457131200","NIFTY","NO_TRADE","PE","NFO:NIFTY2641323800PE","23800","23798.35","23798.35","58.45","203299005","20344155",,"57.6","20059130","30","30","23801.1","23801.35","23797.05","23798.35","0","57.15","60","57.15","58.8","3196960","24000","23600","1.358863539582446","111427550","151414835","60905","147940","false","false","false","true","true","true","true","40","VWAP condition failed; Breakout condition failed; Volume spike missing; OI behavior supports entry; IV filter passed; Liquidity filter passed; Entry time window passed; Signal score failed: 40%"
"2026-04-13T06:54:46.577024800Z","12:24:46.077965800","NIFTY","NO_TRADE","CE","NFO:NIFTY2641323800CE","23800","23798.9","23798.9","62","525393635","17935385",,"58.8","17935385","30","30","23799.5","23801.6","23796","23798.9","0","58.9","60.25","58.05","59.4","2231710","24000","23600","1.358863539582446","111427550","151414835","0","0","false","false","false","true","true","true","true","40","VWAP condition failed; Breakout condition failed; Volume spike missing; OI behavior supports entry; IV filter passed; Liquidity filter passed; Entry time window passed; Signal score failed: 40%"
"2026-04-13T06:54:46.737647900Z","12:24:46.077965800","NIFTY","NO_TRADE","PE","NFO:NIFTY2641323800PE","23800","23798.9","23798.9","56.6","205872615","20344155",,"58.45","20344155","30","30","23799.5","23801.6","23796","23798.9","0","58.55","60.45","57.5","58.85","2287935","24000","23600","1.358863539582446","111427550","151414835","0","0","false","false","false","false","true","true","true","15","VWAP condition failed; Breakout condition failed; Volume spike missing; OI behavior does not support entry; IV filter passed; Liquidity filter passed; Entry time window passed; Signal score failed: 15%"
"2026-04-13T06:55:47.167739300Z","12:25:46.748701200","NIFTY","NO_TRADE","CE","NFO:NIFTY2641323800CE","23800","23810.95","23810.95","63.65","528918910","17935385",,"62","17935385","30","30","23802.4","23811.6","23802.2","23810.95","0","61.5","64.9","61.25","63.9","3346785","24000","23600","1.358863539582446","111427550","151414835","0","0","false","false","false","true","true","true","true","40","VWAP condition failed; Breakout condition failed; Volume spike missing; OI behavior supports entry; IV filter passed; Liquidity filter passed; Entry time window passed; Signal score failed: 40%"
"2026-04-13T06:55:47.297937800Z","12:25:46.748701200","NIFTY","NO_TRADE","PE","NFO:NIFTY2641323800PE","23800","23810.95","23810.95","54.45","208196040","20344155",,"56.6","20344155","30","30","23802.4","23811.6","23802.2","23810.95","0","57.05","57.3","54.3","54.65","2190240","24000","23600","1.358863539582446","111427550","151414835","0","0","false","false","false","false","true","true","true","15","VWAP condition failed; Breakout condition failed; Volume spike missing; OI behavior does not support entry; IV filter passed; Liquidity filter passed; Entry time window passed; Signal score failed: 15%"
"2026-04-13T06:56:47.970738800Z","12:26:47.314655","NIFTY","NO_TRADE","CE","NFO:NIFTY2641323800CE","23800","23814.85","23814.85","66.45","531609390","18413200",,"63.65","17935385","30","30","23810.9","23815.7","23810.8","23814.85","0","63.65","66.45","63.05","66.05","2503475","24000","23600","1.331982782192674","113390745","151034520","262080","288210","false","false","false","true","true","true","true","40","VWAP condition failed; Breakout condition failed; Volume spike missing; OI behavior supports entry; IV filter passed; Liquidity filter passed; Entry time window passed; Signal score failed: 40%"
"2026-04-13T06:56:48.134699400Z","12:26:47.314655","NIFTY","NO_TRADE","PE","NFO:NIFTY2641323800PE","23800","23814.85","23814.85","51.45","210337985","20205445",,"54.45","20344155","30","30","23810.9","23815.7","23810.8","23814.85","0","54.75","54.75","51.6","51.8","2016495","24000","23600","1.331982782192674","113390745","151034520","262080","288210","false","false","false","true","true","true","true","40","VWAP condition failed; Breakout condition failed; Volume spike missing; OI behavior supports entry; IV filter passed; Liquidity filter passed; Entry time window passed; Signal score failed: 40%"
